SNo,AIR,QuotaRaw,Institute,AllottedCategory,CandidateCategory
21509,405611,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21510,405667,Self-Financed Merit,"Mahatma Gandhi Medical College & Research Institute, Pondicherry,SBV Pondicherry",Open,SC
21511,405845,Self-Financed Merit,"Mahatma Gandhi Missions Medical College, Panvel,Gate No. 2, MGM Education",Open,General
21513,405934,Self-Financed Merit,"Chettinad Institute of Medical Education and Research,D.K Plantation, BEML Nagar,",Open,SC
21514,405935,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,OBC
21515,405959,Self-Financed Merit,"Dr. D Y Patil Medical College, Kolhapur,869, E Ward, D. Y. Patil Vidyanagar, Kasaba",Open,OBC
21516,405994,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21517,406004,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,OBC
21519,406106,Self-Financed Merit,"SBKS Medical Instt. & Research Centre, Vadodra,Sumandeep Vidyapeeth Deemed to be",Open,General
21520,406107,Self-Financed Merit,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road,",Open,ST
21521,406191,Self-Financed Merit,"SRM Medical College Hospital & Research Centre, Kancheepuram,SRM MEDICAL",Open,General
21522,406210,Self-Financed Merit,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,KLE",Open,OBC
21523,406240,Self-Financed Merit,"Mahatma Gandhi Missions Medical College, Panvel,Gate No. 2, MGM Education",Open,General
21525,406289,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,OBC
21526,406363,Self-Financed Merit,"Chettinad Institute of Medical Education and Research,D.K Plantation, BEML Nagar,",Open,OBC
21527,406374,All India,"Jhalawar Medical College, Jhalawar,NH-52, KOTA ROAD,JHALAWAR,RAJASTHAN",Open PwD,General PwD
21529,406665,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21530,406685,Self-Financed Merit,"Mahatma Gandhi Missions Medical College, Panvel,Gate No. 2, MGM Education",Open,General
21531,406778,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21533,406979,Self-Financed Merit,"Mahatma Gandhi Missions Medical College, Panvel,Gate No. 2, MGM Education",Open,General
21534,407013,Self-Financed Merit,"Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune,Dr. D. Y. Patil",Open,General
21535,407043,Self-Financed Merit,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha,Sawangi (Meghe),",Open,OBC
21536,407049,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21537,407052,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,General
21538,407123,Self-Financed Merit,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road,",Open,General
21539,407124,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21540,407130,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21542,407207,Self-Financed Merit,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21543,407267,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21544,407270,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,OBC
21545,407297,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21546,407317,Self-Financed Merit,"Krishna Institute of Medical Sciences, Karad,KARAD, DIST. SATARA (MAHARASHTRA",Open,General
21548,407368,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21549,407425,Self-Financed Merit,"Krishna Institute of Medical Sciences, Karad,KARAD, DIST. SATARA (MAHARASHTRA",Open,OBC
21551,407460,Self-Financed Merit,"J R Medical College and Hospital Villupuram District, Tamilnadu,Chennai-Trichy NH-",Open,OBC
21552,407536,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,General
21553,407547,Self-Financed Merit,"Mahatma Gandhi Medical College & Research Institute, Pondicherry,SBV Pondicherry",Open,OBC
21554,407559,Self-Financed Merit,"Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune,Dr. D. Y. Patil",Open,General
21556,407662,Non-Resident Indian,"Kasturba Medical College, Mangalore,Light house Hill Road, Mangalore, India",Open,General
21557,407709,Self-Financed Merit,"Mahatma Gandhi Missions Medical College, Panvel,Gate No. 2, MGM Education",Open,General
21558,407734,Self-Financed Merit,"Dr. D Y Patil Medical College, Kolhapur,869, E Ward, D. Y. Patil Vidyanagar, Kasaba",Open,OBC
21559,407834,Self-Financed Merit,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21560,407907,Self-Financed Merit,"Krishna Institute of Medical Sciences, Karad,KARAD, DIST. SATARA (MAHARASHTRA",Open,General
21561,408025,Self-Financed Merit,"SRM Medical College Hospital & Research Centre, Kancheepuram,SRM MEDICAL",Open,OBC
21563,408108,Self-Financed Merit,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,KLE",Open,EWS
21564,408130,Self-Financed Merit,"Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital - Thuraiyur Road,",Open,OBC
