State,InstituteType,MCCCode,MCCInstitute,Quota,SeatCategory,SeatsOfferedR1,SeatsAllottedR1,NetDifference,FillRate,BestAIR,Q1AIR,MedianAIR,Q3AIR,HighestAIR
Uttar Pradesh,All India Institute Of Medical Science(AIIMS),200513,"AIIMS, Gorakhpur , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",Open Seat Quota,ST,10,10,0,1.0,20571,31511.75,32333.5,33344.0,33950
Rajasthan,All India Institute Of Medical Science(AIIMS),200505,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005",Open Seat Quota,EWS,15,15,0,1.0,347,561.0,677.0,763.5,879
Rajasthan,All India Institute Of Medical Science(AIIMS),200505,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005",Open Seat Quota,OBC,38,38,0,1.0,348,449.25,543.0,628.25,714
Rajasthan,All India Institute Of Medical Science(AIIMS),200505,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005",Open Seat Quota,OBC PwD,2,2,0,1.0,110029,118633.25,127237.5,135841.75,144446
Rajasthan,All India Institute Of Medical Science(AIIMS),200505,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005",Open Seat Quota,Open,58,58,0,1.0,53,202.5,248.0,304.5,344
Rajasthan,All India Institute Of Medical Science(AIIMS),200505,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005",Open Seat Quota,Open PwD,3,3,0,1.0,9483,11724.0,13965.0,31603.0,49241
Rajasthan,All India Institute Of Medical Science(AIIMS),200505,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005",Open Seat Quota,SC,22,22,0,1.0,918,1821.5,2471.0,2805.5,3941
Rajasthan,All India Institute Of Medical Science(AIIMS),200505,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005",Open Seat Quota,SC PwD,1,1,0,1.0,246013,246013.0,246013.0,246013.0,246013
Rajasthan,All India Institute Of Medical Science(AIIMS),200505,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005",Open Seat Quota,ST,11,11,0,1.0,1133,1499.0,2322.0,3728.0,4457
West Bengal,All India Institute Of Medical Science(AIIMS),200514,"AIIMS, Kalyani, NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India",Open Seat Quota,EWS,13,13,0,1.0,2852,3452.0,3681.0,3815.0,3955
West Bengal,All India Institute Of Medical Science(AIIMS),200514,"AIIMS, Kalyani, NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India",Open Seat Quota,OBC,32,32,0,1.0,2282,2398.25,2748.0,2882.5,3049
West Bengal,All India Institute Of Medical Science(AIIMS),200514,"AIIMS, Kalyani, NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India",Open Seat Quota,OBC PwD,2,2,0,1.0,271859,277012.5,282166.0,287319.5,292473
